City,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Denver,6,6,6,7,6,4,4,4,4,4
Denver,7,7,7,7,7,4,5,7,6,5
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,6,6,7,7,5,5,6,6,4
Denver,7,7,6,7,7,4,2,3,3,3
Los Angeles,5,6,5,6,3,1,2,2,2,3
Los Angeles,7,7,7,7,7,7,5,7,6,6
Boston,7,7,7,7,7,4,4,4,4,4
Boston,6,6,5,6,6,6,2,4,2,2
Los Angeles,7,7,7,7,7,6,5,6,4,5
Boston,6,4,7,7,7,6,5,6,5,7
Boston,7,7,7,7,7,7,7,7,7,7
Boston,7,7,7,7,7,2,2,6,2,6
Boston,7,7,7,7,7,4,4,4,4,4
Los Angeles,3,4,4,4,4,3,3,4,4,4
Boston,7,7,7,7,7,5,4,6,3,4
Denver,7,7,7,7,7,6,6,6,6,6
Denver,4,5,2,3,3,1,5,5,6,6
Denver,6,4,5,5,6,5,4,4,3,5
Los Angeles,7,6,7,6,7,7,2,4,6,3
Los Angeles,2,6,6,6,6,5,3,5,2,6
Los Angeles,7,7,4,7,4,3,4,6,3,4
Boston,7,7,6,7,7,4,4,4,2,2
Denver,7,4,5,7,7,4,1,3,2,3
Boston,7,6,6,6,7,4,6,5,6,2
Boston,7,7,6,7,7,1,1,6,1,4
Boston,7,7,7,7,7,6,4,7,5,4
Boston,7,7,7,7,7,5,5,1,5,6
Denver,7,6,5,7,7,2,2,4,2,4
Boston,7,6,6,6,6,2,4,4,1,7
Boston,7,5,5,5,7,4,3,6,4,4
Boston,7,5,5,6,7,4,2,6,4,4
Boston,5,4,5,6,6,3,2,3,3,3
Boston,2,2,4,6,3,3,6,4,6,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,1,7,7,7,7,7,7,7,7,7
Boston,7,6,4,7,7,4,4,7,4,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,7,7,7,7,5,4,7,4,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,7,7,7,7,4,3,4,4,7
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,6,5,3,3,1,3,2,3,5,6
Los Angeles,7,7,7,7,7,4,4,7,4,4
Los Angeles,6,6,6,6,6,4,4,4,2,4
Denver,7,6,4,7,7,1,1,4,1,1
Los Angeles,7,7,7,4,7,4,4,4,4,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,7,4,7,7,3,1,1,1,1
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,7,7,7,7,1,2,4,1,4
Denver,7,7,6,7,7,6,6,6,6,6
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,6,7,6,7,4,4,4,4,4
Denver,7,7,7,7,7,5,6,6,6,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,6,5,6,6,4,5,3,4,4,5
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,7,7,7,7,7,6,6,7,6,6
Los Angeles,6,6,6,6,7,3,2,4,4,6
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,6,7,6,7,7,4,4,4,4,6
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,4,4,7,3,6
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,4,4,7,4,1
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,6,6,7,7,3,3,5,2,4
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,7,6,7,6,6
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,6,6,4,6,6,5,4,6,4,4
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,1,2,4,2,6
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,4,7,7,6,4,6,6,6
Denver,7,7,7,7,7,5,5,7,6,7
Denver,7,7,7,7,7,1,1,4,1,4
Los Angeles,7,7,4,6,7,4,1,5,1,5
